Title,Country,Date,Time,Impact,Forecast,Previous,URL
Bank Holiday,CHF,2010-01-01,All Day,Low,,,https://www.forexfactory.com/calendar?day=jan1.2010
French Bank Holiday,EUR,2010-01-01,All Day,Low,,,https://www.forexfactory.com/calendar?day=jan1.2010
German Bank Holiday,EUR,2010-01-01,All Day,Low,,,https://www.forexfactory.com/calendar?day=jan1.2010
Italian Bank Holiday,EUR,2010-01-01,All Day,Low,,,https://www.forexfactory.com/calendar?day=jan1.2010
Bank Holiday,GBP,2010-01-01,All Day,Low,,,https://www.forexfactory.com/calendar?day=jan1.2010
Bank Holiday,CAD,2010-01-01,All Day,Low,,,https://www.forexfactory.com/calendar?day=jan1.2010
Bank Holiday,USD,2010-01-01,All Day,Low,,,https://www.forexfactory.com/calendar?day=jan1.2010
Non-Manufacturing PMI,CNY,2010-01-03,01:00,Low,,52.3,https://www.forexfactory.com/calendar?day=jan2.2010
FOMC Member Kohn Speaks,USD,2010-01-03,15:15,Medium,,,https://www.forexfactory.com/calendar?day=jan3.2010
Fed Chairman Bernanke Speaks,USD,2010-01-03,15:30,High,,,https://www.forexfactory.com/calendar?day=jan3.2010
Bank Holiday,NZD,2010-01-03,All Day,Low,,,https://www.forexfactory.com/calendar?day=jan3.2010
AIG Manufacturing Index,AUD,2010-01-03,22:30,Low,,51.2,https://www.forexfactory.com/calendar?day=jan3.2010
RatingDog Manufacturing PMI,CNY,2010-01-04,02:30,Medium,,55.7,https://www.forexfactory.com/calendar?day=jan3.2010
Commodity Prices y/y,AUD,2010-01-04,05:30,Medium,,-24.4%,https://www.forexfactory.com/calendar?day=jan4.2010
Spanish Manufacturing PMI,EUR,2010-01-04,08:15,Medium,,45.3,https://www.forexfactory.com/calendar?day=jan4.2010
Manufacturing PMI,CHF,2010-01-04,08:30,Medium,57.1,56.9,https://www.forexfactory.com/calendar?day=jan4.2010
Italian Manufacturing PMI,EUR,2010-01-04,08:45,Low,50.5,50.1,https://www.forexfactory.com/calendar?day=jan4.2010
French Final Manufacturing PMI,EUR,2010-01-04,08:50,Low,54.4,54.4,https://www.forexfactory.com/calendar?day=jan4.2010
German Final Manufacturing PMI,EUR,2010-01-04,08:55,Low,53.1,53.1,https://www.forexfactory.com/calendar?day=jan4.2010
Final Manufacturing PMI,EUR,2010-01-04,09:00,Low,51.6,51.6,https://www.forexfactory.com/calendar?day=jan4.2010
Sentix Investor Confidence,EUR,2010-01-04,09:30,Low,-3.4,-5.5,https://www.forexfactory.com/calendar?day=jan4.2010
Final Manufacturing PMI,GBP,2010-01-04,,High,52.1,51.8,https://www.forexfactory.com/calendar?day=jan4.2010
Net Lending to Individuals m/m,GBP,2010-01-04,,Medium,0.6B,0.5B,https://www.forexfactory.com/calendar?day=jan4.2010
Mortgage Approvals,GBP,2010-01-04,,Low,58K,58K,https://www.forexfactory.com/calendar?day=jan4.2010
Italian Prelim CPI m/m,EUR,2010-01-04,10:00,Low,0.1%,0.1%,https://www.forexfactory.com/calendar?day=jan4.2010
ISM Manufacturing PMI,USD,2010-01-04,15:00,High,54.1,53.6,https://www.forexfactory.com/calendar?day=jan4.2010
Construction Spending m/m,USD,2010-01-04,,Low,-0.4%,-0.5%,https://www.forexfactory.com/calendar?day=jan4.2010
ISM Manufacturing Prices,USD,2010-01-04,,Low,57.7,55.0,https://www.forexfactory.com/calendar?day=jan4.2010
FOMC Member Duke Speaks,USD,2010-01-04,18:00,Low,,,https://www.forexfactory.com/calendar?day=jan4.2010
Monetary Base y/y,JPY,2010-01-04,23:50,Low,3.5%,3.8%,https://www.forexfactory.com/calendar?day=jan4.2010
HIA New Home Sales m/m,AUD,2010-01-05,00:01,Medium,,-6.0%,https://www.forexfactory.com/calendar?day=jan4.2010
Spanish Unemployment Change,EUR,2010-01-05,08:00,Medium,,60.6K,https://www.forexfactory.com/calendar?day=jan5.2010
German Unemployment Change,EUR,2010-01-05,08:55,Medium,6K,-1K,https://www.forexfactory.com/calendar?day=jan5.2010
Construction PMI,GBP,2010-01-05,09:30,Medium,47.6,47.0,https://www.forexfactory.com/calendar?day=jan5.2010
CPI Flash Estimate y/y,EUR,2010-01-05,10:00,Medium,0.9%,0.5%,https://www.forexfactory.com/calendar?day=jan5.2010
FOMC Member Hoenig Speaks,USD,2010-01-05,13:00,Medium,,,https://www.forexfactory.com/calendar?day=jan5.2010
RMPI m/m,CAD,2010-01-05,13:30,Medium,1.2%,2.5%,https://www.forexfactory.com/calendar?day=jan5.2010
IPPI m/m,CAD,2010-01-05,,Low,0.5%,-0.3%,https://www.forexfactory.com/calendar?day=jan5.2010
GDT Price Index,NZD,2010-01-05,,Low,,1.7%,https://www.forexfactory.com/calendar?day=jan5.2010
Pending Home Sales m/m,USD,2010-01-05,15:00,High,-2.3%,3.9%,https://www.forexfactory.com/calendar?day=jan5.2010
Factory Orders m/m,USD,2010-01-05,,Medium,0.5%,0.8%,https://www.forexfactory.com/calendar?day=jan5.2010
Total Vehicle Sales,USD,2010-01-05,All Day,Low,11.0M,10.9M,https://www.forexfactory.com/calendar?day=jan5.2010
AIG Services Index,AUD,2010-01-05,22:30,Medium,,52.5,https://www.forexfactory.com/calendar?day=jan5.2010
Nationwide Consumer Confidence,GBP,2010-01-06,00:01,Medium,72,74,https://www.forexfactory.com/calendar?day=jan5.2010
BRC Shop Price Index y/y,GBP,2010-01-05,,Low,,0.2%,https://www.forexfactory.com/calendar?day=jan5.2010
Building Approvals m/m,AUD,2010-01-06,00:30,High,3.1%,-1.8%,https://www.forexfactory.com/calendar?day=jan5.2010
10-y Bond Auction,JPY,2010-01-06,03:45,Low,,1.25|2.8,https://www.forexfactory.com/calendar?day=jan6.2010
Italian Bank Holiday,EUR,2010-01-06,All Day,Low,,,https://www.forexfactory.com/calendar?day=jan6.2010
Foreign Currency Reserves,CHF,2010-01-06,08:00,High,,95B,https://www.forexfactory.com/calendar?day=jan6.2010
Spanish Services PMI,EUR,2010-01-06,08:15,Low,,46.1,https://www.forexfactory.com/calendar?day=jan6.2010
Italian Services PMI,EUR,2010-01-06,08:45,Low,51.9,49.8,https://www.forexfactory.com/calendar?day=jan6.2010
French Final Services PMI,EUR,2010-01-06,08:50,Low,59.3,59.3,https://www.forexfactory.com/calendar?day=jan6.2010
German Final Services PMI,EUR,2010-01-06,08:55,Low,53.1,53.1,https://www.forexfactory.com/calendar?day=jan6.2010
Final Services PMI,EUR,2010-01-06,09:00,Low,53.7,53.7,https://www.forexfactory.com/calendar?day=jan6.2010
Final Services PMI,GBP,2010-01-06,09:30,High,56.7,56.6,https://www.forexfactory.com/calendar?day=jan6.2010
Industrial New Orders m/m,EUR,2010-01-06,10:00,Medium,-1.0%,1.7%,https://www.forexfactory.com/calendar?day=jan6.2010
PPI m/m,EUR,2010-01-06,,Low,0.2%,0.3%,https://www.forexfactory.com/calendar?day=jan6.2010
German 10-y Bond Auction,EUR,2010-01-06,10:04,Medium,,3.37|1.4,https://www.forexfactory.com/calendar?day=jan6.2010
Challenger Job Cuts y/y,USD,2010-01-06,12:30,Low,,-72.3%,https://www.forexfactory.com/calendar?day=jan6.2010
ADP Non-Farm Employment Change,USD,2010-01-06,13:15,High,-74K,-145K,https://www.forexfactory.com/calendar?day=jan6.2010
ISM Services PMI,USD,2010-01-06,15:00,High,50.5,48.7,https://www.forexfactory.com/calendar?day=jan6.2010
Crude Oil Inventories,USD,2010-01-06,15:30,Medium,-0.4M,-1.5M,https://www.forexfactory.com/calendar?day=jan6.2010
FOMC Meeting Minutes,USD,2010-01-06,19:00,High,,,https://www.forexfactory.com/calendar?day=jan6.2010
Trade Balance,NZD,2010-01-06,21:45,Medium,-397M,-495M,https://www.forexfactory.com/calendar?day=jan6.2010
Goods Trade Balance,AUD,2010-01-07,00:30,High,-1.79B,-2.08B,https://www.forexfactory.com/calendar?day=jan6.2010
Retail Sales m/m,AUD,2010-01-06,,High,0.4%,0.4%,https://www.forexfactory.com/calendar?day=jan6.2010
FOMC Member Bullard Speaks,USD,2010-01-07,06:00,Medium,,,https://www.forexfactory.com/calendar?day=jan7.2010
German Retail Sales m/m,EUR,2010-01-07,07:00,Medium,0.4%,0.0%,https://www.forexfactory.com/calendar?day=jan7.2010
CPI m/m,CHF,2010-01-07,08:15,Medium,0.1%,0.2%,https://www.forexfactory.com/calendar?day=jan7.2010
Halifax HPI m/m,GBP,2010-01-07,09:00,High,0.6%,1.3%,https://www.forexfactory.com/calendar?day=jan7.2010
Retail Sales m/m,EUR,2010-01-07,10:00,Medium,0.0%,0.2%,https://www.forexfactory.com/calendar?day=jan7.2010
Consumer Confidence,EUR,2010-01-07,,Low,-16,-17,https://www.forexfactory.com/calendar?day=jan7.2010
French 10-y Bond Auction,EUR,2010-01-07,10:05,Medium,,3.62|2.1,https://www.forexfactory.com/calendar?day=jan7.2010
German Factory Orders m/m,EUR,2010-01-07,11:00,Medium,1.6%,-1.9%,https://www.forexfactory.com/calendar?day=jan7.2010
Asset Purchase Facility,GBP,2010-01-07,12:00,High,200B,200B,https://www.forexfactory.com/calendar?day=jan7.2010
MPC Rate Statement,GBP,2010-01-07,,High,,,https://www.forexfactory.com/calendar?day=jan7.2010
Official Bank Rate,GBP,2010-01-07,,High,0.50%,0.50%,https://www.forexfactory.com/calendar?day=jan7.2010
Unemployment Claims,USD,2010-01-07,13:30,High,449K,433K,https://www.forexfactory.com/calendar?day=jan7.2010
Ivey PMI,CAD,2010-01-07,15:00,High,52.2,55.9,https://www.forexfactory.com/calendar?day=jan7.2010
Natural Gas Storage,USD,2010-01-07,15:30,Low,-147B,-124B,https://www.forexfactory.com/calendar?day=jan7.2010
FOMC Member Hoenig Speaks,USD,2010-01-07,18:00,Medium,,,https://www.forexfactory.com/calendar?day=jan7.2010
AIG Construction Index,AUD,2010-01-07,22:30,Low,,47.6,https://www.forexfactory.com/calendar?day=jan7.2010
Leading Indicators,JPY,2010-01-08,05:00,Low,91.4%,89.4%,https://www.forexfactory.com/calendar?day=jan8.2010
Unemployment Rate,CHF,2010-01-08,06:45,Low,4.2%,4.1%,https://www.forexfactory.com/calendar?day=jan8.2010
German Trade Balance,EUR,2010-01-08,07:00,Low,12.3B,12.7B,https://www.forexfactory.com/calendar?day=jan8.2010
FOMC Member Bullard Speaks,USD,2010-01-08,07:30,Medium,,,https://www.forexfactory.com/calendar?day=jan8.2010
French Trade Balance,EUR,2010-01-08,07:45,Low,-3.9B,-4.4B,https://www.forexfactory.com/calendar?day=jan8.2010
PPI Input m/m,GBP,2010-01-08,09:30,High,-0.2%,0.1%,https://www.forexfactory.com/calendar?day=jan8.2010
PPI Output m/m,GBP,2010-01-08,,Low,0.2%,0.2%,https://www.forexfactory.com/calendar?day=jan8.2010
Unemployment Rate,EUR,2010-01-08,10:00,Medium,9.9%,9.9%,https://www.forexfactory.com/calendar?day=jan8.2010
Final GDP q/q,EUR,2010-01-08,,Low,0.4%,0.4%,https://www.forexfactory.com/calendar?day=jan8.2010
Italian Monthly Unemployment Rate,EUR,2010-01-08,,Low,8.3%,8.2%,https://www.forexfactory.com/calendar?day=jan8.2010
German Industrial Production m/m,EUR,2010-01-08,11:00,Medium,1.1%,-1.7%,https://www.forexfactory.com/calendar?day=jan8.2010
Employment Change,CAD,2010-01-08,12:00,High,20.2K,79.1K,https://www.forexfactory.com/calendar?day=jan8.2010
Unemployment Rate,CAD,2010-01-08,,High,8.5%,8.5%,https://www.forexfactory.com/calendar?day=jan8.2010
Non-Farm Employment Change,USD,2010-01-08,13:30,High,-3K,4K,https://www.forexfactory.com/calendar?day=jan8.2010
Unemployment Rate,USD,2010-01-08,,High,10.1%,10.0%,https://www.forexfactory.com/calendar?day=jan8.2010
Average Hourly Earnings m/m,USD,2010-01-08,,Medium,0.2%,0.2%,https://www.forexfactory.com/calendar?day=jan8.2010
Final Wholesale Inventories m/m,USD,2010-01-08,15:00,Low,-0.2%,0.6%,https://www.forexfactory.com/calendar?day=jan8.2010
FOMC Member Rosengren Speaks,USD,2010-01-08,15:15,Medium,,,https://www.forexfactory.com/calendar?day=jan8.2010
President Obama Speaks,USD,2010-01-08,19:40,Low,,,https://www.forexfactory.com/calendar?day=jan8.2010
Consumer Credit m/m,USD,2010-01-08,20:00,Low,-4.9B,-4.2B,https://www.forexfactory.com/calendar?day=jan8.2010
USD-Denominated Trade Balance,CNY,2010-01-10,06:04,High,20.3B,19.1B,https://www.forexfactory.com/calendar?day=jan10.2010
Bank Holiday,JPY,2010-01-10,All Day,Low,,,https://www.forexfactory.com/calendar?day=jan10.2010
ANZ Job Advertisements m/m,AUD,2010-01-11,00:30,Medium,,5.2%,https://www.forexfactory.com/calendar?day=jan10.2010
FOMC Member Bullard Speaks,USD,2010-01-11,02:10,Medium,,,https://www.forexfactory.com/calendar?day=jan10.2010
French Industrial Production m/m,EUR,2010-01-11,07:45,Medium,0.4%,-0.6%,https://www.forexfactory.com/calendar?day=jan11.2010
Retail Sales y/y,CHF,2010-01-11,08:15,High,1.9%,3.6%,https://www.forexfactory.com/calendar?day=jan11.2010
ECB President Trichet Speaks,EUR,2010-01-11,10:16,Medium,,,https://www.forexfactory.com/calendar?day=jan11.2010
Housing Starts,CAD,2010-01-11,13:15,High,161K,165K,https://www.forexfactory.com/calendar?day=jan11.2010
Building Permits m/m,CAD,2010-01-11,13:30,High,-2.6%,20.0%,https://www.forexfactory.com/calendar?day=jan11.2010
BOC Business Outlook Survey,CAD,2010-01-11,15:30,High,,,https://www.forexfactory.com/calendar?day=jan11.2010
Gov Council Member Lane Speaks,CAD,2010-01-11,19:20,Medium,,,https://www.forexfactory.com/calendar?day=jan11.2010
NZIER Business Confidence,NZD,2010-01-11,21:00,High,,36,https://www.forexfactory.com/calendar?day=jan11.2010
Bank Lending y/y,JPY,2010-01-11,23:50,Low,,0.2%,https://www.forexfactory.com/calendar?day=jan11.2010
Current Account,JPY,2010-01-11,,Low,1.22T,1.38T,https://www.forexfactory.com/calendar?day=jan11.2010
M2 Money Stock y/y,JPY,2010-01-11,,Low,3.3%,3.3%,https://www.forexfactory.com/calendar?day=jan11.2010
BRC Retail Sales Monitor y/y,GBP,2010-01-12,00:01,Medium,,1.8%,https://www.forexfactory.com/calendar?day=jan11.2010
RICS House Price Balance,GBP,2010-01-11,,Medium,38%,35%,https://www.forexfactory.com/calendar?day=jan11.2010
Home Loans m/m,AUD,2010-01-12,00:30,High,-1.2%,-1.9%,https://www.forexfactory.com/calendar?day=jan11.2010
Economy Watchers Sentiment,JPY,2010-01-12,05:00,Low,34.2,33.9,https://www.forexfactory.com/calendar?day=jan12.2010
French Gov Budget Balance,EUR,2010-01-12,07:45,Low,,-134.8B,https://www.forexfactory.com/calendar?day=jan12.2010
Goods Trade Balance,GBP,2010-01-12,09:30,Medium,-6.9B,-7.0B,https://www.forexfactory.com/calendar?day=jan12.2010
ONS HPI y/y,GBP,2010-01-12,,Low,0.4%,-2.2%,https://www.forexfactory.com/calendar?day=jan12.2010
NFIB Small Business Index,USD,2010-01-12,12:30,Low,,88.3,https://www.forexfactory.com/calendar?day=jan12.2010
Trade Balance,CAD,2010-01-12,13:30,High,0.8B,0.5B,https://www.forexfactory.com/calendar?day=jan12.2010
NHPI m/m,CAD,2010-01-12,,Medium,0.3%,0.3%,https://www.forexfactory.com/calendar?day=jan12.2010
Trade Balance,USD,2010-01-12,,High,-34.9B,-33.2B,https://www.forexfactory.com/calendar?day=jan12.2010
JOLTS Job Openings,USD,2010-01-12,15:00,Low,,2.57M,https://www.forexfactory.com/calendar?day=jan12.2010
RCM/TIPP Economic Optimism,USD,2010-01-12,,Low,49.2,46.8,https://www.forexfactory.com/calendar?day=jan12.2010
ANZ Commodity Prices m/m,NZD,2010-01-13,02:00,Low,,10.5%,https://www.forexfactory.com/calendar?day=jan12.2010
Prelim Machine Tool Orders y/y,JPY,2010-01-13,06:00,Low,,-8.4%,https://www.forexfactory.com/calendar?day=jan13.2010
French Final CPI m/m,EUR,2010-01-13,07:45,Low,0.3%,0.1%,https://www.forexfactory.com/calendar?day=jan13.2010
Italian Industrial Production m/m,EUR,2010-01-13,09:00,Low,0.8%,0.7%,https://www.forexfactory.com/calendar?day=jan13.2010
Manufacturing Production m/m,GBP,2010-01-13,09:30,High,0.3%,0.0%,https://www.forexfactory.com/calendar?day=jan13.2010
Industrial Production m/m,GBP,2010-01-13,,Low,0.3%,-0.1%,https://www.forexfactory.com/calendar?day=jan13.2010
Spanish 10-y Bond Auction,EUR,2010-01-13,13:30,Medium,,3.89|2.1,https://www.forexfactory.com/calendar?day=jan13.2010
NIESR GDP Estimate,GBP,2010-01-13,15:00,Medium,,0.2%,https://www.forexfactory.com/calendar?day=jan13.2010
Crude Oil Inventories,USD,2010-01-13,15:30,Medium,1.2M,1.3M,https://www.forexfactory.com/calendar?day=jan13.2010
10-y Bond Auction,USD,2010-01-13,18:00,Medium,,3.45|2.6,https://www.forexfactory.com/calendar?day=jan13.2010
Beige Book,USD,2010-01-13,19:00,Medium,,,https://www.forexfactory.com/calendar?day=jan13.2010
Federal Budget Balance,USD,2010-01-13,,Medium,-88.9B,-120.3B,https://www.forexfactory.com/calendar?day=jan13.2010
Building Consents m/m,NZD,2010-01-13,21:45,High,,10.7%,https://www.forexfactory.com/calendar?day=jan13.2010
Core Machinery Orders m/m,JPY,2010-01-13,23:50,Medium,0.3%,-4.5%,https://www.forexfactory.com/calendar?day=jan13.2010
PPI y/y,JPY,2010-01-13,,Low,-3.8%,-5.0%,https://www.forexfactory.com/calendar?day=jan13.2010
Employment Change,AUD,2010-01-14,00:30,High,10.2K,31.4K,https://www.forexfactory.com/calendar?day=jan13.2010
Unemployment Rate,AUD,2010-01-13,,High,5.8%,5.6%,https://www.forexfactory.com/calendar?day=jan13.2010
